ID_Transaccion;Monto;Fecha;Banco;Marca;Estado
TRX0001;"""[{account_name"": ""account_wwlcytqr"", ""callback_url"": ""https://payflow.vtexpayments.com.br/api/pvt/payment-provider/transactions/I22H7JQRTK961X5EJZKM62UC3IQZMXZ9"", ""delay_auto_settle"": ""1800"", ""merchant_name"": ""merchant_nuhiqq"", ""monto"": 1250000, ""vtex_transaction_id"": ""I22H7JQRTK961X5EJZKM62UC3IQZMXZ9}]""";26/07/2026 9:00;BANCO_B;"[{""financial_entity"": ""aumento"", ""amount"": ""-139.24"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""aumento"", ""amount"": ""-2758.42"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""ica"", ""amount"": ""-3071.19"", ""detail"": ""tax_withholding""}, {""marca"": ""AMERICANINO""}}]""""";AUTORIZADO
TRX0002;"{""account_name"": ""account_nkukcvtl"", ""callback_url"": ""https://payflow.vtexpayments.com.br/api/pvt/payment-provider/transactions/QBZF39Q2Y45KXXQIV0VA9LEJ17OQPEWE"", ""delay_auto_settle"": ""7200"", ""merchant_name"": ""merchant_tcdhgl"", ""monto"": ""188.000 COP"", ""monto"": 188000, ""vtex_transaction_id"": ""QBZF39Q2Y45KXXQIV0VA9LEJ17OQPEWE}]""";06/07/2026 8:00;BANCO_B;"[{""financial_entity"": ""iva"", ""amount"": ""-4936.72"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""ica"", ""amount"": ""-4426.1"", ""detail"": ""tax_withholding""}, {""marca"": ""NAF NAF""}}]""""";AUTORIZADO
TRX0003;"[{account_name"": ""account_gkynvgiu"", ""callback_url"": ""https://nexoflow.vtexpayments.com.br/api/pvt/payment-provider/transactions/Y2W6KYKIQNWOFJRPV3D6X4SZXVF1KQJV"", ""delay_auto_settle"": ""7200"", ""merchant_name"": ""merchant_cctfza"", ""monto"": 205000, ""vtex_transaction_id"": ""Y2W6KYKIQNWOFJRPV3D6X4SZXVF1KQJV""]";24/07/2026 12:00;BANCO_C;"[{""financial_entity"": ""iva"", ""amount"": ""-2511.47"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""ica"", ""amount"": ""-4744.09"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-2572.43"", ""detail"": ""tax_withholding""}, {""marca"": ""NAF NAF""}}]""""";AUTORIZADO
TRX0004;"[{account_name"": ""account_tmjoxore"", ""callback_url"": ""https://flowcash.vtexpayments.com.br/api/pvt/payment-provider/transactions/AVO3FHACHDMV562ULL04M05I9JC8RSS2"", ""delay_auto_settle"": ""1800"", ""merchant_name"": ""merchant_ckszzq"", ""monto\"": 165000, ""vtex_transaction_id"": ""AVO3FHACHDMV562ULL04M05I9JC8RSS2""}]""""";11/07/2026 14:00;BANCO_A;"[{financial_entityfinancial_entity"": ""aumento"", ""amount"": ""-2011.16"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""fuente"", ""amount"": ""-3336.41"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-3841.48"", ""detail"": ""tax_withholding""}, {""marca\"": ""CHEVIGNON""}]""";AUTORIZADO
TRX0005;"{""account_name"": ""account_kmewwuzu"", ""callback_url"": ""https://payflow.vtexpayments.com.br/api/pvt/payment-provider/transactions/Y2APCQK9E9ZF3JIZL93SMB152F5WON81"", ""delay_auto_settle"": ""1800"", ""merchant_name"": ""merchant_qahpqf"", ""monto"": 225000, ""vtex_transaction_id"": ""Y2APCQK9E9ZF3JIZL93SMB152F5WON81}]""";28/07/2026 9:00;BANCO_C;"{{""financial_entity"": ""aumento"", ""amount"": ""-4042.1"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-2355.95"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""cree"", ""amount"": ""-269.93"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""cree"", ""amount"": ""-292.74"", ""detail"": ""tax_withholding""}, {""marca"": ""AMERICAN EAGLE""}]""";AUTORIZADO
TRX0006;"""[{account_name"": ""account_bxpfuwwu"", ""callback_url"": ""https://payflow.vtexpayments.com.br/api/pvt/payment-provider/transactions/6LBUZI5J6K6Z384FBD7M36ZEONK4WK4R"", ""delay_auto_settle"": ""7200"", ""merchant_name"": ""merchant_edsohg"", ""monto"": ""289.000 COP"", ""monto"": 289000, ""vtex_transaction_id"": ""6LBUZI5J6K6Z384FBD7M36ZEONK4WK4R}]""";19/07/2026 12:00;BANCO_C;"""[{""financial_entity"": ""fuente"", ""amount"": ""-4963.23"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""cree"", ""amount"": ""-4983.47"", ""detail"": ""tax_withholding""}, {""marca"": ""AMERICAN EAGLE""}]""";AUTORIZADO
TRX0007;"({account_name"": ""account_qqjsexae"", ""callback_url"": ""https://quickpay.vtexpayments.com.br/api/pvt/payment-provider/transactions/K9NJBVEWKR337FN3I37T4X2H4PTRB2O0"", ""delay_auto_settle"": ""1800"", ""merchant_name"": ""merchant_huwrsn"", ""monto"": 240000, ""vtex_transaction_id"": ""K9NJBVEWKR337FN3I37T4X2H4PTRB2O0})""";14/07/2026 19:00;BANCO_A;"{{""financial_entity"": ""ica"", ""amount"": ""-589.84"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-1368.34"", ""detail"": ""tax_withholding""}, {""marca"": ""NAF NAF""}]""";AUTORIZADO
TRX0008;"({account_name"": ""account_dkcmxvxn"", ""callback_url"": ""https://flowcash.vtexpayments.com.br/api/pvt/payment-provider/transactions/MBVZRB5RYXDPI5TAVZA9WCAVKNIVXPU1"", ""delay_auto_settle"": ""7200"", ""merchant_name"": ""merchant_yaxamp"", ""monto"": 95000, ""vtex_transaction_id"": ""MBVZRB5RYXDPI5TAVZA9WCAVKNIVXPU1})""";24/07/2026 20:00;BANCO_C;"""[{""financial_entity"": ""fuente"", ""amount"": ""-1356.31"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-1680.18"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-4496.85"", ""detail"": ""tax_withholding""}, {""marca"": ""AMERICAN EAGLE""}]""";AUTORIZADO
TRX0009;"""[{account_name"": ""account_puaiqqot"", ""callback_url"": ""https://transactionhub.vtexpayments.com.br/api/pvt/payment-provider/transactions/GEX4ZSM1XZURIRSDK5P0SEU8DSB97YBL"", ""delay_auto_settle"": ""7200"", ""merchant_name"": ""merchant_rdwxll"", ""monto"": 95000, ""vtex_transaction_id"": ""GEX4ZSM1XZURIRSDK5P0SEU8DSB97YBL}]""";04/07/2026 13:00;BANCO_A;"{{""financial_entity"": ""cree"", ""amount"": ""-638.6"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-2457.29"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""aumento"", ""amount"": ""-4085.67"", ""detail"": ""tax_withholding""}, {""marca"": ""RIFLE""}]""";AUTORIZADO
TRX0010;"({account_name"": ""account_adhuivak"", ""callback_url"": ""https://quickpay.vtexpayments.com.br/api/pvt/payment-provider/transactions/I1BCE8GVHB2NIMLY7SVSFFE6O06J094W"", ""delay_auto_settle"": ""1800"", ""merchant_name"": ""merchant_udtugz"", ""monto"": 198000, ""vtex_transaction_id"": ""I1BCE8GVHB2NIMLY7SVSFFE6O06J094W})""";30/07/2026 23:00;BANCO_A;"""[{""financial_entity"": ""cree"", ""amount"": ""-2965.91"", ""detail"": ""tax_withholding""}, {""financial_entity"": ""iva"", ""amount"": ""-838.89"", ""detail"": ""tax_withholding""}, {""marca"": ""NAF NAF""}]""";AUTORIZADO
